bathrooms,description,floor,location1,location2,price,price_m2,rooms,size,location,position
1.0,"Características del edificio:

-  Edificio construido en el año 1979, con la fachada de ladrillo visto marrón, p...",,"calle Vital Aza, nº 94",Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital),155.000,2.583,2.0,60,"calle Vital Aza, nº 94, Pueblo Nuevo (Distrito Ciudad Lineal. Madrid Capital)","{'lat': 40.4338563, 'lng': -3.6370199}"
1.0,"Vivienda situada en el barrio de San Isidro , cercana al centro de Getafe , 1º planta exterior  con 3 dormitorio...",1ª,calle Valdemoro,San Isidro (Getafe),149.000,2.069,3.0,72,"calle Valdemoro, San Isidro (Getafe)","{'lat': 40.3012942, 'lng': -3.7320925}"
5.0,"Excelente , único y exclusivo son los adjetivos que definen a esta vivienda. Situado en zona Prime , la más pres...",2ª,Chamberí,Almagro (Distrito Chamberí. Madrid Capital),2.800.000,6.682,6.0,419,"Chamberí, Almagro (Distrito Chamberí. Madrid Capital)","{'lat': 40.4338618, 'lng': -3.695287}"
1.0,"PSCOMPLUTENSE vende piso semireformado en la zona de la Centro- Estación de Alcalá de Henares.

Se distribuye en...",3ª,Centro - Estacion,"San Isidro, Estación (Distrito Centro. Alcalá de Henares)",165.000,1.718,3.0,96,"Centro - Estacion, San Isidro, Estación (Distrito Centro. Alcalá de Henares)","{'lat': 40.4115165, 'lng': -3.7076445}"
2.0,CMS inmobiliaria experta en Torrejón de la Calzada tiene el placer de ofrecerle este bonito piso de tres habitac...,,"calle Doce de Octubre, nº 28",Torrejón de La Calzada,185.000,1.728,3.0,107,"calle Doce de Octubre, nº 28, Torrejón de La Calzada","{'lat': 40.1998986, 'lng': -3.7976904}"
1.0,"Vivienda madrid pone a la venta piso exterior de 91 m²  en 3ª planta.

La vivienda dispone de 2 dormitorios ab...",,calle Julio Montero,Valverde (Distrito Fuencarral-El Pardo. Madrid Capital),130.000,1.428,2.0,91,"calle Julio Montero, Valverde (Distrito Fuencarral-El Pardo. Madrid Capital)","{'lat': 40.4966888, 'lng': -3.6884676}"
2.0,"Residencial Sandoval: Conjunto de 22 viviendas Exclusivas en pleno centro de Torrejón de Ardoz, 
junto a la Plaz...",2ª,"calle Manuel Sandoval, nº 3",Zona Noroeste (Torrejón de Ardoz),208.850,2.295,2.0,91,"calle Manuel Sandoval, nº 3, Zona Noroeste (Torrejón de Ardoz)","{'lat': 40.4591239, 'lng': -3.4819898}"
1.0,"¿Buscas vivienda en la zona? 

Red piso la avanzada ofrece en exclusiva vivienda con reforma a estrenar muy lu...",9ª,Naranjo-La Serna,Naranjo-La Serna (Fuenlabrada),165.000,1.941,3.0,85,"Naranjo-La Serna, Naranjo-La Serna (Fuenlabrada)","{'lat': 40.2938978, 'lng': -3.8114262}"
4.0,"Sensacional piso en venta  ubicado en una de las mejores urbanizaciones de Somosaguas ( Pozuelo ).
Distribuido s...",2ª,Prado de Somosaguas,Prado de Somosaguas (Pozuelo de Alarcón),900.000,3.913,5.0,230,"Prado de Somosaguas, Prado de Somosaguas (Pozuelo de Alarcón)","{'lat': 40.4104322, 'lng': -3.7970675}"
2.0,"Vivienda2 pone a la venta este espectacular piso en el excepcional barrio Nueva España, en el distrito de Chamar...",3ª,Hispanoamerica,Hispanoamérica (Distrito Chamartín. Madrid Capital),477.000,5.817,2.0,82,"Hispanoamerica, Hispanoamérica (Distrito Chamartín. Madrid Capital)","{'lat': 40.4552066, 'lng': -3.6797153}"
1.0,"PSCOMPLUTENSE vende fantástico apartamento de 50 m2 construidos en la Zona Centro con Garaje y Trastero.

La viv...",1ª,Apartamento en Centro - Estacion,"San Isidro, Estación (Distrito Centro. Alcalá de Henares)",180.890,3.617,1.0,50,"Apartamento en Centro - Estacion, San Isidro, Estación (Distrito Centro. Alcalá de Henares)","{'lat': 40.4115165, 'lng': -3.7076445}"
2.0,"Vivienda2 pone a la venta en el distrito de Chamberí y en el barrio de Gaztambide, este magnífico inmueble empla...",5ª,Gaztambide,Gaztambide (Distrito Chamberí. Madrid Capital),760.000,5.629,5.0,135,"Gaztambide, Gaztambide (Distrito Chamberí. Madrid Capital)","{'lat': 40.4354156, 'lng': -3.714341}"
1.0,"Vivienda2 vende apartamento con cocina independiente, y un pequeño patio, listo para entrar a vivir o alquilar e...",0,Universidad,Universidad-Malasaña (Distrito Centro. Madrid Capital),255.000,5.312,1.0,48,"Universidad, Universidad-Malasaña (Distrito Centro. Madrid Capital)","{'lat': 40.4233716, 'lng': -3.7077922}"
1.0,Agencia inmobiliaria de madrid zona carabanchel alto - buenavista vende piso en c/ alzina. Se trata de una vivie...,,Buenavista,Buenavista (Distrito Carabanchel. Madrid Capital),110.000,1.341,3.0,82,"Buenavista, Buenavista (Distrito Carabanchel. Madrid Capital)","{'lat': 40.3676676, 'lng': -3.750812899999999}"
2.0,"Si quiere vivir en una de las zonas más castizas de Madrid, a escaso metros de la Puerta de Toledo, el mercado d...",4ª,Palacio,Palacio (Distrito Centro. Madrid Capital),689.000,5.601,2.0,123,"Palacio, Palacio (Distrito Centro. Madrid Capital)","{'lat': 40.417955, 'lng': -3.714311999999999}"
2.0,Vivienda situada en el centro de Getafe con 3 dormitorios muy amplios-salon independiente con terraza exterior-c...,1ª,calle Capitan Carlos Haya,Centro (Getafe),270.000,2.250,3.0,120,"calle Capitan Carlos Haya, Centro (Getafe)","{'lat': 40.3077985, 'lng': -3.7252301}"
1.0,"GRINVAL VENDE en pleno centro de Alcorcón, a pasos del Ayuntamiento, amplio apartamento de 1 dormitorio, salón i...",2ª,calle Nueva,Casco Antiguo (Alcorcón),138.000,2.059,1.0,67,"calle Nueva, Casco Antiguo (Alcorcón)","{'lat': 40.348189, 'lng': -3.8267324}"
2.0,"Vivienda , en finca cerrada, con ascensor, consta de 3 dormitorios, antes (4) con armarios empotrados, amplio sa...",,calle Cleopatra,Palomeras Bajas (Distrito Puente de Vallecas. Madrid Capital),175.000,1.483,3.0,118,"calle Cleopatra, Palomeras Bajas (Distrito Puente de Vallecas. Madrid Capital)","{'lat': 40.3824297, 'lng': -3.658220699999999}"
1.0,"Piso en venta en Arganda del Rey. Zona Centro. Vivienda con 83m2 construidos, distribuida a través de un amplio ...",3ª,Centro,Centro (Arganda del Rey),109.000,1.313,3.0,83,"Centro, Centro (Arganda del Rey)","{'lat': 40.3081442, 'lng': -3.4457423}"
2.0,NUDA PROPIEDAD de una excelente vivienda exterior en el barrio de Almagro con una terraza a la calle. En la mism...,5ª,Almagro,Almagro (Distrito Chamberí. Madrid Capital),660.000,3.510,5.0,188,"Almagro, Almagro (Distrito Chamberí. Madrid Capital)","{'lat': 40.4338618, 'lng': -3.695287}"
2.0,"Piso bajo en muy buen estado de conservación!!!!
Son 98m distribuidos en 3 dormitorios, 2 baños completos, salón...",,"San Martín de La Vega, Zona de - San Martín de La Vega",San Martín de la Vega,145.000,1.479,3.0,98,"San Martín de La Vega, Zona de - San Martín de La Vega, San Martín de la Vega","{'lat': 40.2103049, 'lng': -3.5787384}"
1.0,"Tegeisa vende vivienda en una de las zonas más tranquilas del Barrio de Valdeacederas en Tetuán.
 
 Si busca...",1ª,calle Fereluz,Valdeacederas (Distrito Tetuán. Madrid Capital),220.000,3.055,3.0,72,"calle Fereluz, Valdeacederas (Distrito Tetuán. Madrid Capital)","{'lat': 40.4634331, 'lng': -3.7010953}"
1.0,"Avenida de Portugal a 500 metros de Móstoles Central.  Vivienda de 88 metros cuadrados con hall, salón ampliado ...",2ª,Centro,Centro (Móstoles),178.000,2.022,3.0,88,"Centro, Centro (Móstoles)","{'lat': 40.3232129, 'lng': -3.8676291}"
1.0,"Tu hogar en pangea alquila o vende piso de 50m² que consta de 2 dormitorios, 1 baño, cocina y salón independient...",,"El Álamo, Zona de - El Álamo",El Álamo,85.000,1.700,2.0,50,"El Álamo, Zona de - El Álamo, El Álamo","{'lat': 29.4259671, 'lng': -98.48614189999999}"
3.0,TEGEISA vende Piso de 174 m2 de superficie ideal para emprendedores o inversionistas. La propiedad consta de tre...,,calle Capitan Blanco Argibay,Valdeacederas (Distrito Tetuán. Madrid Capital),270.000,1.551,2.0,174,"calle Capitan Blanco Argibay, Valdeacederas (Distrito Tetuán. Madrid Capital)","{'lat': 40.46702550000001, 'lng': -3.704126}"
2.0,"Inmobiliaria Novogar vende magnificas viviendas en pleno centro de Móstoles, junto a todos los servicios. Vivien...",1ª,calle Ricardo Mede,Centro (Móstoles),157.900,2.255,2.0,70,"calle Ricardo Mede, Centro (Móstoles)","{'lat': 40.3241661, 'lng': -3.8651843}"
1.0,Vivienda 2 pone a la venta una fantástica oportunidad de vivir en una de las zonas con más proyección de la Capi...,6ª,Palos de Moguer,Palos de Moguer (Distrito Arganzuela. Madrid Capital),293.000,5.860,2.0,50,"Palos de Moguer, Palos de Moguer (Distrito Arganzuela. Madrid Capital)","{'lat': 40.4039957, 'lng': -3.6999529}"
2.0,"Vivienda libre.  Piso en urbanización con piscina. Vivienda de 100 metros cuadrados con hall, salón amplio, coci...",5ª,"Urbanización, Piscina, Garaje",Oeste (Móstoles),206.000,2.060,3.0,100,"Urbanización, Piscina, Garaje, Oeste (Móstoles)","{'lat': 40.3232129, 'lng': -3.8676291}"
2.0,"¡¡¡No cobramos honorarios al comprador!!!

""asesores inmobiliarios las rosas, comercializa en las rosas este f...",5ª,Madrid,Rosas (Distrito San Blas. Madrid Capital),412.000,3.404,4.0,121,"Madrid, Rosas (Distrito San Blas. Madrid Capital)","{'lat': 40.428817, 'lng': -3.6053791}"
1.0,Obra nueva!!!!! Viviendas de 1 dormitorio con patio y plaza de garaje por 68.900€ y de dos dormitorios desde 85....,0,"Apartamento en calle Amargura, nº 18",El Molar,68.900,1.097,1.0,63,"Apartamento en calle Amargura, nº 18, El Molar","{'lat': 40.7344198, 'lng': -3.5798373}"
1.0,"Altura piso 1º, piso superficie total 78 m², superficie útil 67 m², hab. individuales: 2, habitaciones dobles: 1...",1ª,calle Via Carpetana,Abrantes (Distrito Carabanchel. Madrid Capital),185.000,2.371,3.0,78,"calle Via Carpetana, Abrantes (Distrito Carabanchel. Madrid Capital)","{'lat': 40.3754163, 'lng': -3.7309677}"
1.0,"""Edificio emblemático y señorial, situado en el distrito Centro, próximo a Sol, ubicación inmejorable ya que se ...",1ª,"calle Duque de Rivas, nº 8",Sol (Distrito Centro. Madrid Capital),440.000,5.569,1.0,79,"calle Duque de Rivas, nº 8, Sol (Distrito Centro. Madrid Capital)","{'lat': 40.4132376, 'lng': -3.7066023}"
1.0,"Se vende vivienda de 88 m2 de 3 dormitorios, 1 baño, despensa, terraza tendedero exterior cerrada, terraza cerra...",,Vicalvaro,Ambroz (Distrito Vicálvaro. Madrid Capital),145.000,1.647,3.0,88,"Vicalvaro, Ambroz (Distrito Vicálvaro. Madrid Capital)","{'lat': 40.4098909, 'lng': -3.6169718}"
2.0,"Piso en venta en Torres de la Alameda (Madrid). Piso bajo de dos plantas con 4 habitaciones, 2 baños, cocina amu...",0,"Plaza Posadas, nº 13",Torres de La Alameda,152.700,1.305,4.0,117,"Plaza Posadas, nº 13, Torres de La Alameda","{'lat': 40.4054714, 'lng': -3.3615643}"
2.0,"Escalera 4, 2º B. Piso en un inmueble de obra nueva de 149 m2 de superficie construida y situado en la zona de B...",2ª,"calle Reyes Católicos,  6",Sector B (Boadilla del Monte),501.600,3.373,3.0,149,"calle Reyes Católicos,  6, Sector B (Boadilla del Monte)","{'lat': 40.4090869, 'lng': -3.8946981}"
1.0,A escasos 400 metros de la estación de Metro de Marques de Valdavia (línea 10) situado en una finca con ascensor...,,calle Empecinado,Centro (Alcobendas),180.000,2.117,3.0,85,"calle Empecinado, Centro (Alcobendas)","{'lat': 40.5405994, 'lng': -3.6318623}"
1.0,"Piso de 42 m2 en semisótano con salón, 1 dormitorio, cocina independiente y baño en bonito edificio muy bien ref...",,"Ronda de Toledo, nº 28",Embajadores-Lavapiés (Distrito Centro. Madrid Capital),172.800,4.114,1.0,42,"Ronda de Toledo, nº 28, Embajadores-Lavapiés (Distrito Centro. Madrid Capital)","{'lat': 40.4052621, 'lng': -3.7055201}"
1.0,"Situado a 2 kilómetros de la Renfe de Alcalá de Henares, en una finca con ascensor y totalmente modernizada y en...",,calle Segovia,El Val (Distrito El Val. Alcalá de Henares),110.000,1.964,3.0,56,"calle Segovia, El Val (Distrito El Val. Alcalá de Henares)","{'lat': 40.484908, 'lng': -3.3507033}"
1.0,"Piso situado en la calle Padre Flores, en Alcalá de Henares,  Madrid. Este piso localizado en una planta baja co...",0,"calle Padre Florez, nº 1","Pryconsa, Juan de Austria (Distrito El Val. Alcalá de Henares)",133.380,1.710,3.0,78,"calle Padre Florez, nº 1, Pryconsa, Juan de Austria (Distrito El Val. Alcalá de Henares)","{'lat': 40.4855844, 'lng': -3.347435}"
3.0,"Boher gestión inmobiliaria vende: disponible en agosto 2019.
Magnífico piso en francisco gervás, 2ª planta, con...",2ª,calle de Francisco Gervás,Castillejos (Distrito Tetuán. Madrid Capital),1.075.000,5.874,6.0,183,"calle de Francisco Gervás, Castillejos (Distrito Tetuán. Madrid Capital)","{'lat': 40.4607955, 'lng': -3.6930134}"
1.0,"''tecnocasa vende piso en pleno barrio de arapiles.
La vivienda son 70 metros distribuidos en 3 dormitorios, sa...",6ª,calle Escosura,Cortes-Huertas (Distrito Centro. Madrid Capital),399.000,5.700,3.0,70,"calle Escosura, Cortes-Huertas (Distrito Centro. Madrid Capital)","{'lat': 40.435015, 'lng': -3.7068485}"
2.0,"""oportunidad: vivienda de diseño, con gran rentabilidad para alquiler a corto plazo (se adjunta tabla de rentabi...",3ª,calle de Lope de Vega,Cortes-Huertas (Distrito Centro. Madrid Capital),965.000,5.610,4.0,172,"calle de Lope de Vega, Cortes-Huertas (Distrito Centro. Madrid Capital)","{'lat': 40.4136938, 'lng': -3.6961839}"
2.0,"Gran Piso disponible en el centro de Barajas, oportunidad por alta rentabilidad (7% T. A. E. ) en casco históric...",2ª,"Apartamento en calle de Algemesi, Madrid, nº 39",Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),248.000,2.431,4.0,102,"Apartamento en calle de Algemesi, Madrid, nº 39, Casco Histórico de Barajas (Distrito Barajas. Madrid Capital)","{'lat': 40.469809, 'lng': -3.5808505}"
1.0,"Inmohogar gestiona la venta de vivienda en Alcorcon , situada en zona céntrica y muy bien comunicada. próxima a ...",1ª,calle Alfares,Casco Antiguo (Alcorcón),135.000,1.646,3.0,82,"calle Alfares, Casco Antiguo (Alcorcón)","{'lat': 40.3464832, 'lng': -3.8286956}"
1.0,REDPISO ZONA OPORTO dispone de vivienda a la venta en la calle Via Lusitana completamente reformado. La vivienda...,3ª,calle Via Lusitana,Opañel (Distrito Carabanchel. Madrid Capital),160.890,2.089,3.0,77,"calle Via Lusitana, Opañel (Distrito Carabanchel. Madrid Capital)","{'lat': 40.3743883, 'lng': -3.7326855}"
1.0,Agencia inmobiliaria de madrid - zona campamento - colonia jardin vende piso en la calle campo florido compuesto...,3ª,calle Campo Florido,Campamento (Distrito Latina. Madrid Capital),129.500,1.992,3.0,65,"calle Campo Florido, Campamento (Distrito Latina. Madrid Capital)","{'lat': 40.3987109, 'lng': -3.7746045}"
1.0,"Excelente piso en avda. De logroño. El piso está en una ubicación fantástica en plena avda. De logroño, eje prin...",1ª,"calle Logroño, nº 102",Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),220.000,2.340,3.0,94,"calle Logroño, nº 102, Casco Histórico de Barajas (Distrito Barajas. Madrid Capital)","{'lat': 40.4690638, 'lng': -3.5808944}"
1.0,"Hartzenbusch - estudio/buhardilla luminosa, 5ª planta, salon-dormitorio, cocina y baño. Bomba frio-calor. Ascens...",,calle Hartzenbusch,Trafalgar (Distrito Chamberí. Madrid Capital),186.000,4.894,1.0,38,"calle Hartzenbusch, Trafalgar (Distrito Chamberí. Madrid Capital)","{'lat': 40.4304247, 'lng': -3.7017557}"
1.0,"MASTERPISO vende vivienda reformada, en C/ General Pingarron, Getafe. 1ª Planta sin ascensor, 75 m2 construidos,...",1ª,calle General Pingarron,Centro (Getafe),142.000,1.893,3.0,75,"calle General Pingarron, Centro (Getafe)","{'lat': 40.3084342, 'lng': -3.7330543}"
2.0,"Piso de 83 metros próximo al centro deportivo Huerta Vieja, en la localidad de Majadahonda.
 Se distribuye en un...",1ª,calle Puerto de Cotos,Zona Norte (Majadahonda),283.000,3.409,2.0,83,"calle Puerto de Cotos, Zona Norte (Majadahonda)","{'lat': 40.4825516, 'lng': -3.873980599999999}"
1.0,"No cobramos honorarios al comprador. Trato directo con la propiedad, total transparencia.

¡¡¡No vas a encontr...",,Casco Viejo de Barajas,Casco Histórico de Barajas (Distrito Barajas. Madrid Capital),165.000,2.357,3.0,70,"Casco Viejo de Barajas, Casco Histórico de Barajas (Distrito Barajas. Madrid Capital)","{'lat': 40.4739758, 'lng': -3.5800038}"
1.0,"Piso muy luminoso en zona muy tranquila de Vallecas. El piso consta de Salón, cocina, Cuarto de baño, dos habita...",2ª,calle Rio de La Plata,Portazgo (Distrito Puente de Vallecas. Madrid Capital),102.000,1.457,2.0,70,"calle Rio de La Plata, Portazgo (Distrito Puente de Vallecas. Madrid Capital)","{'lat': 40.3871401, 'lng': -3.6515854}"
